mese_anno,area,media_centro
2021-Jan,ABR,16.61
2021-Jan,BAS,17.27
2021-Jan,CAL,12.75
2021-Jan,CAM,104.25
2021-Jan,EMR,40.61
2021-Jan,FVG,25.05
2021-Jan,LAZ,33.29
2021-Jan,LIG,11.67
2021-Jan,LOM,85.43
2021-Jan,MAR,23.56
2021-Jan,MOL,39.88
2021-Jan,PAB,23.27
2021-Jan,PAT,36.96
2021-Jan,PIE,26.35
2021-Jan,PUG,5.50
2021-Jan,SAR,14.36
2021-Jan,SIC,28.57
2021-Jan,TOS,18.51
2021-Jan,UMB,13.59
2021-Jan,VDA,26.47
2021-Jan,VEN,26.20
2021-Feb,ABR,33.62
2021-Feb,BAS,32.17
2021-Feb,CAL,19.11
2021-Feb,CAM,142.81
2021-Feb,EMR,43.18
2021-Feb,FVG,35.10
2021-Feb,LAZ,46.74
2021-Feb,LIG,14.41
2021-Feb,LOM,115.48
2021-Feb,MAR,34.72
2021-Feb,MOL,55.99
2021-Feb,PAB,30.38
2021-Feb,PAT,52.39
2021-Feb,PIE,34.36
2021-Feb,PUG,8.76
2021-Feb,SAR,17.77
2021-Feb,SIC,32.89
2021-Feb,TOS,30.55
2021-Feb,UMB,15.22
2021-Feb,VDA,36.31
2021-Feb,VEN,27.53
2021-Mar,ABR,79.74
2021-Mar,BAS,54.89
2021-Mar,CAL,50.35
2021-Mar,CAM,275.65
2021-Mar,EMR,104.76
2021-Mar,FVG,63.30
2021-Mar,LAZ,111.07
2021-Mar,LIG,36.60
2021-Mar,LOM,260.47
2021-Mar,MAR,91.03
2021-Mar,MOL,176.37
2021-Mar,PAB,37.35
2021-Mar,PAT,109.43
2021-Mar,PIE,62.05
2021-Mar,PUG,18.16
2021-Mar,SAR,54.91
2021-Mar,SIC,79.18
2021-Mar,TOS,57.07
2021-Mar,UMB,58.41
2021-Mar,VDA,48.20
2021-Mar,VEN,87.61
2021-Apr,ABR,124.18
2021-Apr,BAS,94.61
2021-Apr,CAL,84.27
2021-Apr,CAM,531.97
2021-Apr,EMR,161.19
2021-Apr,FVG,98.00
2021-Apr,LAZ,157.78
2021-Apr,LIG,68.13
2021-Apr,LOM,492.24
2021-Apr,MAR,159.82
2021-Apr,MOL,218.75
2021-Apr,PAB,68.23
2021-Apr,PAT,171.73
2021-Apr,PIE,112.86
2021-Apr,PUG,36.30
2021-Apr,SAR,96.67
2021-Apr,SIC,113.85
2021-Apr,TOS,96.61
2021-Apr,UMB,97.30
2021-Apr,VDA,105.83
2021-Apr,VEN,120.81
2021-May,ABR,193.73
2021-May,BAS,147.88
2021-May,CAL,149.26
2021-May,CAM,972.95
2021-May,EMR,206.44
2021-May,FVG,162.76
2021-May,LAZ,255.52
2021-May,LIG,69.09
2021-May,LOM,726.73
2021-May,MAR,194.62
2021-May,MOL,291.14
2021-May,PAB,103.28
2021-May,PAT,239.08
2021-May,PIE,143.63
2021-May,PUG,54.35
2021-May,SAR,137.30
2021-May,SIC,200.96
2021-May,TOS,134.40
2021-May,UMB,129.65
2021-May,VDA,132.43
2021-May,VEN,174.33
